user.state.subs,binari.engaged,total.user.time.played.week.journey,periodicity,daytime.listened,total.user.skipped.week.journey,v1.perc.listened,artists.playlists.perc.listened,charts.perc.listened,content.lens.perc.listened,now.series.perc.listened,offline.playlists.perc.listened,online.playlist.perc.listened,playlists.perc.listened,promo.perc.listened,radio.perc.listened,recently.played.perc.listened,search.perc.listened,unknown.perc.listened,total.user.ratio.success.search.play.after30.sec,total.avg.time.background.week.journey,total.avg.time.foreground.week.journey,total.unique.playlists.played.week.journey,total.user.created.week.journey,total.user.trackadded.week.journey,total.user.ratio.skipped.week.journey,total.user.ratio.saved.week.journey,total.user.ratio.added.week.journey,songs.per.playlist.ratio
53,Yes,16091.5,3.3,Day,15.5,0,0,37.9,0,72.65,0,0,16.8,0,0,0,0,0,0,17210.5,363,3,0,0,16.578,0,0,0
55,No,242,0,Late night,0,0,28.6,0,14.3,0,0,0,0,0,0,0,57.1,0,0,131,1853,7,2,45,0,321.429,321.429,22.5
53,No,442,0,Day,0,0,0,0,50,0,0,0,0,0,0,50,0,0,0,445,203,2,0,0,0,0,0,0
23,No,4,0,Day,3,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,69,1,0,0,300,0,0,0
53,No,6003.2,1.934,Day,25.75,0,60.25,9.3,20.733,22.967,0,0,45.05,37.2,7.7,14.1,0,0,0,8390.8,2753.4,5,0,0,52.984,0,0,0
53,Yes,7564.286,1.371,Early,11.571,0,0,31.767,44.2,64.756,0,0,8.833,0,18.2,38.9,0,0,0,15808.857,352,3.857,0,0,20.876,0,0,0
23,Yes,5172.857,1.293,Night,10.2,0,62.5,0,56.35,29.7,0,0,0,61.267,0,79.5,92.75,0,100,38827.571,900.286,2,1,1,27.782,65.37,2.724,1
53,Yes,7478.364,0.809,Day,6.111,0,28.06,32.386,10.35,10,53.078,0,40.82,12.083,0,16.4,35.217,0,57.1,13551.818,1885.364,3.818,0,0,10.294,21.267,0,0
23,Yes,45,0,Day,0,0,0,0,0,0,0,50,50,0,0,0,0,0,50,936,419.5,1,3,84,0,0,4200,28
55,Yes,4193.5,2.169,Day,36.75,0,0,0,33.2,83.425,0,0,50.85,30.35,0,0,4.3,0,100,124649.333,398,3,0,0,77.641,0,0,0
53,Yes,5738.625,0.885,Day,45.75,0,20.9,0,0,11.85,0,42.64,8.75,29.8,68.5,24.25,7.333,0,42.9,12672.125,1087.875,14.25,1,4.5,61.307,0,6.03,9
55,Yes,22287.714,1.367,Late night,27,0,0,0,50.4,70,0,0,95.1,22.5,0.4,72,45.433,0,100,44248.143,2851.125,2.286,0,0,26.885,0,0,0
53,Yes,1020.5,4.145,Day,44,0,58.95,0,0,21.625,60.325,0,70.4,62.5,27.7,100,33.05,0,0,15202.5,794.4,2.5,0,1,125.714,10,2.857,0
53,Yes,2578.889,2.324,Early,19,0,0,0,0,0,95.155,76.65,0,0,0,0,0,0,0,2561.111,201.889,1.222,0,0,119.58,0,0,0
